data,descricao,categoria,valor,tipo,centro_de_custo,meio_pagamento
2025-10-01,Recebimento Contrato Retainer - TechCorp Soluções,Receita de Serviços,45000.0,entrada,Comercial / Projetos,TED / PIX
2025-10-02,"Google Workspace (E-mails, Meet & Drive Corporativo)",Ferramentas & SaaS,680.0,saida,Administrativo,Cartão Corporativo
2025-10-02,Aluguel Sala Comercial / Escritório Headquarters,Ocupação e Infraestrutura,3800.0,saida,Administrativo,Boleto
2025-10-03,"Suprimentos de Copa, Café e Insumos do Escritório",Instalações e Serviços,650.0,saida,Administrativo,Cartão Corporativo
2025-10-03,"AWS Cloud Services (Hospedagem, Servidores e Banco de Dados)",Infraestrutura & Cloud,4200.0,saida,Operacional / Dev,Cartão Corporativo
2025-10-05,Honorários Contabilidade Empresarial,Serviços Terceirizados,1500.0,saida,Administrativo,PIX
2025-10-05,Licenciamento e Suporte SaaS - RetailSaaS LTDA,Receita de Serviços,25000.0,entrada,Comercial / Projetos,PIX
2025-10-05,"Licenças Slack, Zoom & Notion (Comunicação)",Ferramentas & SaaS,380.0,saida,Operacional / Dev,Cartão Corporativo
2025-10-06,GitHub Enterprise & Vercel Pro (DevOps & CI/CD),Ferramentas & SaaS,750.0,saida,Operacional / Dev,Cartão Corporativo
2025-10-07,Plano de Saúde e Odontológico - Equipe de Eng. de Software,Pessoas & Benefícios,2850.0,saida,RH / Pessoas,Débito Automático
2025-10-08,Link Dedicado de Internet Fibra Óptica 1Gbps,Ocupação e Infraestrutura,490.0,saida,Administrativo,Débito Automático
2025-10-10,Google Ads & Meta Ads (Anúncios Aquisição de Clientes),Marketing & Vendas,2200.0,saida,Comercial,Cartão Corporativo
2025-10-10,Almoço de Negócios e Prospecção - Prospect Fintech,Marketing & Vendas,420.0,saida,Comercial,Cartão Corporativo
2025-10-10,Desenvolvimento Sprint Mobile App - LogísticaX,Receita de Serviços,18000.0,entrada,Comercial / Projetos,Boleto
2025-10-12,Uber Corporativo - Reunião Presencial de Alinhamento,Deslocamento & Viagens,185.0,saida,Comercial,Cartão Corporativo
2025-10-12,Figma Enterprise & Adobe Creative Cloud (Design UI/UX),Ferramentas & SaaS,320.0,saida,Operacional / Dev,Cartão Corporativo
2025-10-15,Conta de Energia Elétrica - Escritório,Ocupação e Infraestrutura,720.0,saida,Administrativo,Débito Automático
2025-10-15,Pagamento DAS - Simples Nacional (Imposto Faturamento),Impostos & Taxas,8500.0,saida,Financeiro,Boleto
2025-10-15,Consultoria Arquitetura Cloud & DevOps - FinPay,Receita de Serviços,12000.0,entrada,Comercial / Projetos,PIX
2025-10-18,Pró-labore dos Sócios / Direção Executiva,Pessoas & Benefícios,20000.0,saida,Gestão / Adm,TED
2025-10-20,Gympass Corporativo - Benefício Saúde da Equipe,Pessoas & Benefícios,550.0,saida,RH / Pessoas,Boleto
2025-10-20,Folha de Pagamento - Devs e Encarregados PJ/CLT,Pessoas & Benefícios,22000.0,saida,Operacional / Dev,TED / PIX
2025-10-22,OpenAI API Key & Datadog APM (Monitoramento e IA),Infraestrutura & Cloud,1150.0,saida,Operacional / Dev,Cartão Corporativo
2025-10-25,Reembolso Combustível - Visita Técnica e Implantação,Deslocamento & Viagens,340.0,saida,Operacional / Dev,PIX
2025-10-27,Cartão Caju - Benefício Alimentação / Refeição Devs,Pessoas & Benefícios,2400.0,saida,RH / Pessoas,Boleto
2025-10-28,Assessoria Jurídica Especializada em Contratos de TI,Serviços Terceirizados,1200.0,saida,Administrativo,PIX
2025-10-31,Tarifa Cesta Bancária PJ + Taxas de Emissão PIX/Boleto,Despesas Bancárias,165.0,saida,Financeiro,Débito em Conta
